Week,Sample,Hawea:Start Storage [GWh],Hawea:End Storage [GWh],Hawea:Water Values [$/MWh],Hawea:Res Spill [GWh],Hawea:Res Inflow [GWh],Hawea:Res Release [GWh],Tekapo:Start Storage [GWh],Tekapo:End Storage [GWh],Tekapo:Water Values [$/MWh],Tekapo:Res Spill [GWh],Tekapo:Res Inflow [GWh],Tekapo:Res Release [GWh],Pukaki:Start Storage [GWh],Pukaki:End Storage [GWh],Pukaki:Water Values [$/MWh],Pukaki:Res Spill [GWh],Pukaki:Res Inflow [GWh],Pukaki:Res Release [GWh],Taupo:Start Storage [GWh],Taupo:End Storage [GWh],Taupo:Water Values [$/MWh],Taupo:Res Spill [GWh],Taupo:Res Inflow [GWh],Taupo:Res Release [GWh],WEEKStartDate,Total_Other_Storage,Season,Seasonal_Max_Other_Storage,Total_Other_Storage_Perc,Other_Storage_Level
126,28,166.254,168.212,132.017,0.0,10.041,8.083,317.519,305.623,98.285,0.0,67.506,79.402,867.733,910.308,139.591,0.0,110.088,67.512,15.566,2.642,218.593,0.0,38.765,51.689,2022-11-21,1081.16,Spring,2610.26,0.41,Medium
127,28,168.212,182.89,174.238,0.0,15.526,0.848,305.623,310.151,116.868,0.0,84.16,79.632,910.308,969.014,160.309,0.0,125.165,66.459,2.642,27.814,289.035,0.0,39.086,13.914,2022-11-28,1179.72,Spring,2610.26,0.45,Medium
128,28,182.89,192.141,160.81,0.0,10.098,0.848,310.151,311.941,117.919,0.0,77.483,75.692,969.014,1000.524,152.22,0.0,113.656,82.146,27.814,90.887,256.609,0.0,73.131,10.057,2022-12-05,1283.55,Spring,2610.26,0.49,Medium
129,28,192.141,201.689,165.799,0.0,10.396,0.848,311.941,314.74,122.682,0.0,82.151,79.353,1000.524,1049.331,159.14,0.0,137.095,88.288,90.887,144.506,243.071,0.0,65.894,12.275,2022-12-12,1395.53,Spring,2610.26,0.53,Medium
130,28,201.689,208.175,167.211,0.0,7.334,0.848,314.74,300.188,126.66,0.0,64.729,79.281,1049.331,1052.378,163.236,0.0,102.225,99.178,144.506,163.934,237.764,0.0,31.081,11.652,2022-12-19,1424.49,Spring,2610.26,0.55,Medium
131,28,208.175,213.707,192.099,0.0,6.38,0.848,300.188,271.281,143.77,0.0,50.419,79.326,1052.378,1091.42,191.889,0.0,102.086,63.044,163.934,185.68,260.109,0.0,31.803,10.057,2022-12-26,1490.81,Spring,2610.26,0.57,Medium
132,28,213.707,221.555,208.588,0.0,8.695,0.848,271.281,304.507,164.469,0.0,112.929,79.704,1091.42,1230.7,212.315,0.0,158.009,18.729,185.68,225.662,272.179,0.0,50.039,10.057,2023-01-02,1677.92,Spring,2610.26,0.64,High
133,28,221.555,236.587,176.077,0.0,15.88,0.848,304.507,351.265,143.597,0.0,126.465,79.707,1230.7,1354.512,170.045,0.0,187.854,64.042,225.662,249.796,244.684,0.0,51.01,26.875,2023-01-09,1840.9,Spring,2610.26,0.71,High
134,28,236.587,242.702,179.126,0.0,6.962,0.848,351.265,368.949,134.61,0.0,97.646,79.963,1354.512,1411.518,167.941,0.0,159.983,102.977,249.796,254.312,242.19,0.0,35.105,30.589,2023-01-16,1908.53,Spring,2610.26,0.73,High
135,28,242.702,253.014,183.075,0.0,11.16,0.848,368.949,408.145,133.283,0.0,119.369,80.173,1411.518,1534.094,167.238,0.0,210.003,87.428,254.312,255.867,244.553,0.0,36.754,35.199,2023-01-23,2042.98,Spring,2610.26,0.78,High
136,28,253.014,255.69,181.342,0.0,3.524,0.848,408.145,369.117,124.828,0.0,41.628,80.656,1534.094,1487.72,156.489,0.0,115.95,162.323,255.867,303.174,248.237,0.0,65.899,18.591,2023-01-30,2046.58,Spring,2610.26,0.78,High
137,28,255.69,251.663,188.843,0.0,2.797,6.825,369.117,333.675,138.789,0.0,45.567,81.01,1487.72,1425.471,175.658,0.0,106.528,168.777,303.174,300.412,238.708,0.0,28.528,31.289,2023-02-06,1977.55,Spring,2610.26,0.76,High
138,28,251.663,237.476,202.33,0.0,4.752,18.939,333.675,296.82,155.155,0.0,44.696,81.551,1425.471,1367.532,202.024,0.0,118.416,176.355,300.412,274.617,257.266,0.0,23.204,48.999,2023-02-13,1879.62,Spring,2610.26,0.72,High
139,28,237.476,209.235,204.699,0.0,2.03,30.27,296.82,248.788,169.609,0.0,33.706,81.737,1367.532,1271.989,210.342,0.0,84.247,179.79,274.617,220.994,257.927,0.0,17.382,71.005,2023-02-20,1702.22,Spring,2610.26,0.65,High
140,28,209.235,183.411,210.953,0.0,4.446,30.27,248.788,208.192,196.804,0.0,41.422,82.018,1271.989,1227.992,220.857,0.0,110.278,154.274,220.994,208.44,264.521,0.0,49.199,61.753,2023-02-27,1619.84,Spring,2610.26,0.62,High
141,28,183.411,159.132,205.995,0.0,5.991,30.27,208.192,203.093,203.548,0.0,76.417,81.516,1227.992,1221.629,204.938,0.0,129.046,135.41,208.44,257.416,241.014,0.0,91.028,42.051,2023-03-06,1638.18,Spring,2610.26,0.63,High
142,28,159.132,144.626,209.66,0.0,4.423,18.929,203.093,171.258,207.206,0.0,41.53,73.365,1221.629,1181.343,206.514,0.0,84.725,125.011,257.416,321.539,224.174,0.0,104.938,40.816,2023-03-13,1647.51,Spring,2610.26,0.63,High
143,28,144.626,127.59,211.498,0.0,2.205,19.241,171.258,181.224,218.024,0.0,32.976,23.011,1181.343,1122.86,205.484,0.0,63.067,121.549,321.539,292.777,208.709,0.0,44.346,73.108,2023-03-20,1543.23,Spring,2610.26,0.59,Medium
144,28,127.59,101.046,221.79,0.0,1.466,28.009,181.224,185.873,218.161,0.0,27.66,23.011,1122.86,1038.956,214.635,0.0,41.215,125.119,292.777,251.24,218.427,0.0,35.965,77.502,2023-03-27,1391.24,Spring,2610.26,0.53,Medium
145,28,101.046,72.957,232.508,0.0,0.821,28.911,185.873,181.805,219.478,0.0,21.244,25.312,1038.956,946.319,221.119,0.0,47.805,140.443,251.24,229.169,222.895,0.0,53.368,75.439,2023-04-03,1248.44,Spring,2610.26,0.48,Medium
146,28,72.957,46.171,230.401,0.0,0.676,27.462,181.805,164.226,206.147,0.0,16.582,34.162,946.319,826.475,213.049,0.0,38.741,158.585,229.169,216.122,213.888,0.0,63.748,76.794,2023-04-10,1088.77,Spring,2610.26,0.42,Medium
147,28,46.171,31.339,254.901,0.0,1.522,16.354,164.226,148.809,224.859,0.0,22.162,37.578,826.475,722.335,231.364,0.0,36.951,141.09,216.122,221.228,225.792,0.0,69.771,64.665,2023-04-17,974.9,Spring,2610.26,0.37,Low
148,28,31.339,18.364,261.344,0.0,1.438,14.413,148.809,86.288,231.337,0.0,20.294,82.815,722.335,635.58,235.551,0.0,69.742,156.497,221.228,170.853,218.833,0.0,35.327,85.702,2023-04-24,824.8,Spring,2610.26,0.32,Low
149,28,18.364,25.722,307.413,0.0,8.206,0.848,86.288,123.53,319.106,0.0,62.06,24.818,635.58,548.837,245.895,0.0,62.955,149.698,170.853,164.005,240.821,0.0,72.939,79.787,2023-05-01,738.56,Spring,2610.26,0.28,Low
150,28,25.722,34.889,253.146,0.0,10.015,0.848,123.53,203.579,221.652,0.0,104.867,24.818,548.837,564.237,221.619,0.0,91.998,76.598,164.005,216.144,208.881,0.0,120.424,68.285,2023-05-08,815.27,Spring,2610.26,0.31,Low
151,28,34.889,39.428,203.373,0.0,5.386,0.848,203.579,176.363,159.999,0.0,55.273,82.489,564.237,578.169,196.427,0.0,89.241,75.309,216.144,167.074,157.886,0.0,52.152,101.222,2023-05-15,784.67,Spring,2610.26,0.3,Low
152,28,39.428,48.813,233.236,0.0,10.232,0.848,176.363,213.041,192.01,0.0,110.338,73.659,578.169,696.642,211.764,0.0,131.545,13.072,167.074,163.114,201.926,0.0,73.984,77.944,2023-05-22,908.57,Spring,2610.26,0.35,Low
153,28,48.813,39.563,192.815,0.0,5.513,14.762,213.041,179.146,158.475,0.0,48.879,82.774,696.642,735.331,185.239,0.0,85.338,46.65,163.114,126.896,163.607,0.0,55.346,91.565,2023-05-29,901.79,Spring,2610.26,0.35,Low
154,28,39.563,45.113,202.03,0.0,6.397,0.848,179.146,153.361,177.449,0.0,44.424,70.21,735.331,776.314,187.38,0.0,76.302,35.318,126.896,215.227,185.167,0.0,151.906,63.575,2023-06-05,1036.65,Spring,2610.26,0.4,Medium
155,28,45.113,49.527,185.996,0.0,5.262,0.848,153.361,167.635,173.238,0.0,42.492,28.217,776.314,791.641,170.705,0.0,48.616,33.289,215.227,202.243,137.919,0.0,70.404,83.388,2023-06-12,1043.41,Spring,2610.26,0.4,Medium
156,28,49.527,60.229,192.094,0.0,11.55,0.848,167.635,188.394,177.614,0.0,44.673,23.915,791.641,822.921,175.824,0.0,40.118,8.838,202.243,178.289,152.774,0.0,56.072,80.025,2023-06-19,1061.44,Spring,2610.26,0.41,Medium
157,28,60.229,66.126,188.152,0.0,6.745,0.848,188.394,204.866,170.574,0.0,40.387,23.915,822.921,872.294,171.531,0.0,51.597,2.224,178.289,272.145,160.369,0.0,154.059,60.203,2023-06-26,1210.56,Spring,2610.26,0.46,Medium
158,28,66.126,72.749,178.944,0.0,7.47,0.848,204.866,229.868,160.415,0.0,51.308,26.306,872.294,897.8,158.301,0.0,49.372,23.866,272.145,267.836,125.583,0.0,85.513,89.822,2023-07-03,1238.38,Spring,2610.26,0.47,Medium
1,29,145.736,151.83,226.908,0.0,6.942,0.848,479.304,429.459,126.469,0.0,32.455,82.3,1069.452,1075.966,212.994,0.0,79.29,72.776,53.647,21.25,205.182,0.0,52.401,84.798,2020-06-29,1249.05,Unknown,2610.26,0.48,Medium
2,29,151.83,155.167,231.172,0.0,4.185,0.848,429.459,382.427,141.395,0.0,35.151,82.182,1075.966,1072.688,217.574,0.0,70.443,73.721,21.25,52.339,246.614,0.0,74.497,43.408,2020-07-06,1280.19,Unknown,2610.26,0.49,Medium
3,29,155.167,165.067,230.314,0.0,10.748,0.848,382.427,333.054,151.452,0.0,32.666,82.039,1072.688,1059.628,215.338,0.0,76.639,89.699,52.339,97.383,220.122,0.0,103.812,58.769,2020-07-13,1322.08,Unknown,2610.26,0.51,Medium
4,29,165.067,171.918,221.858,0.0,7.698,0.848,333.054,294.89,161.764,0.0,43.684,81.848,1059.628,1069.022,210.89,0.0,81.922,72.528,97.383,140.009,206.679,0.0,107.611,64.984,2020-07-20,1380.95,Unknown,2610.26,0.53,Medium
5,29,171.918,188.631,220.272,0.0,17.561,0.848,294.89,248.114,170.646,0.0,34.815,81.591,1069.022,1112.474,208.056,0.0,86.426,42.974,140.009,132.264,203.925,0.0,62.697,70.443,2020-07-27,1433.37,Unknown,2610.26,0.55,Medium
6,29,188.631,210.503,205.386,0.0,22.719,0.848,248.114,310.204,173.539,0.0,123.446,61.356,1112.474,1221.814,197.196,0.0,109.34,0.0,132.264,172.506,201.908,0.0,94.596,54.353,2020-08-03,1604.82,Unknown,2610.26,0.61,High
7,29,210.503,216.016,168.684,0.0,6.361,0.848,310.204,280.79,143.136,0.0,38.93,68.344,1221.814,1227.465,165.299,0.0,58.502,52.851,172.506,174.868,176.077,0.0,74.587,72.226,2020-08-10,1618.35,Unknown,2610.26,0.62,High
8,29,216.016,208.84,156.18,0.0,5.241,12.417,280.79,240.567,147.509,0.0,34.956,75.179,1227.465,1248.995,157.187,0.0,71.22,49.69,174.868,187.749,174.343,0.0,80.202,67.321,2020-08-17,1645.58,Unknown,2610.26,0.63,High
9,29,208.84,197.527,151.284,0.0,4.399,15.712,240.567,187.689,156.322,0.0,27.269,80.146,1248.995,1243.847,150.519,0.0,67.729,72.876,187.749,174.466,171.419,0.0,62.957,76.24,2020-08-24,1615.84,Unknown,2610.26,0.62,High
10,29,197.527,206.963,168.272,0.0,10.284,0.848,187.689,202.696,177.943,0.0,37.531,22.524,1243.847,1225.082,158.256,0.0,47.974,66.739,174.466,188.602,190.244,0.0,71.868,57.732,2020-08-31,1620.65,Unknown,2610.26,0.62,High
11,29,206.963,240.148,153.356,0.0,34.033,0.848,202.696,309.255,164.194,0.0,130.195,23.637,1225.082,1346.442,153.456,0.0,121.36,0.0,188.602,271.56,187.558,0.0,97.907,14.95,2020-09-07,1858.15,Unknown,2610.26,0.71,High
12,29,240.148,239.233,79.915,0.0,7.914,8.83,309.255,341.488,115.312,0.0,55.869,23.637,1346.442,1318.004,105.643,0.0,61.537,89.975,271.56,366.615,119.984,0.0,113.724,18.669,2020-09-14,1923.85,Unknown,2610.26,0.74,High
13,29,239.233,219.606,124.917,0.0,5.064,24.692,341.488,334.175,119.624,0.0,34.854,42.166,1318.004,1283.356,134.216,0.0,58.684,93.331,366.615,364.856,146.981,0.0,67.221,68.981,2020-09-21,1867.82,Unknown,2610.26,0.72,High
14,29,219.606,199.924,132.094,0.0,6.683,26.365,334.175,315.054,119.976,0.0,41.572,60.693,1283.356,1275.741,134.65,0.0,72.831,80.446,364.856,361.239,144.114,0.0,66.052,69.669,2020-09-28,1836.9,Unknown,2610.26,0.7,High
15,29,199.924,214.361,179.59,0.0,15.284,0.848,315.054,320.997,135.567,0.0,84.355,78.411,1275.741,1313.018,158.301,0.0,107.035,69.759,361.239,374.306,181.94,0.0,82.452,69.385,2020-10-05,1901.68,Unknown,2610.26,0.73,High
16,29,214.361,220.552,137.213,0.0,7.039,0.848,320.997,288.203,125.626,0.0,45.575,78.37,1313.018,1307.213,125.61,0.0,95.858,101.663,374.306,362.043,143.993,0.0,68.253,80.517,2020-10-12,1889.81,Unknown,2610.26,0.72,High
17,29,220.552,223.054,187.9,0.0,6.109,3.607,288.203,254.585,154.249,0.0,44.843,78.461,1307.213,1261.471,167.346,0.0,90.67,136.411,362.043,348.798,206.218,0.0,50.276,63.521,2020-10-19,1833.32,Unknown,2610.26,0.7,High
18,29,223.054,231.511,194.786,0.0,9.304,0.848,254.585,234.281,168.716,0.0,58.222,78.527,1261.471,1210.467,179.729,0.0,98.08,149.085,348.798,355.556,222.092,0.0,60.295,53.537,2020-10-26,1797.53,Unknown,2610.26,0.69,High
19,29,231.511,226.271,181.778,0.0,6.659,11.899,234.281,193.867,175.161,0.0,38.581,78.994,1210.467,1143.794,181.888,0.0,88.895,155.568,355.556,361.165,219.798,0.0,61.652,56.043,2020-11-02,1731.23,Unknown,2610.26,0.66,High
20,29,226.271,232.356,200.814,0.0,12.79,6.705,193.867,187.199,196.662,0.0,72.522,79.19,1143.794,1139.105,202.363,0.0,109.462,114.151,361.165,333.922,232.755,0.0,44.934,72.177,2020-11-09,1705.38,Unknown,2610.26,0.65,High
21,29,232.356,231.696,195.818,0.0,8.053,8.713,187.199,165.857,201.315,0.0,57.902,79.244,1139.105,1080.69,203.473,0.0,100.111,158.526,333.922,305.999,244.252,0.0,47.899,75.822,2020-11-16,1618.39,Unknown,2610.26,0.62,High
22,29,231.696,207.59,152.371,0.0,6.164,30.27,165.857,166.937,197.804,0.0,50.973,49.893,1080.69,981.848,174.388,0.0,81.789,180.631,305.999,268.97,209.616,0.0,47.242,84.27,2020-11-23,1458.41,Unknown,2610.26,0.56,Medium
23,29,207.59,186.128,228.316,0.0,4.994,26.455,166.937,136.549,215.756,0.0,49.244,79.632,981.848,913.731,230.898,0.0,94.649,162.766,268.97,224.466,276.347,0.0,29.178,73.683,2020-11-30,1324.32,Unknown,2610.26,0.51,Medium
24,29,186.128,167.002,247.193,0.0,4.243,23.37,136.549,96.241,231.682,0.0,39.261,79.568,913.731,858.116,235.953,0.0,92.154,147.769,224.466,216.903,291.633,0.0,44.004,51.567,2020-12-07,1242.02,Unknown,2610.26,0.48,Medium
25,29,167.002,174.493,272.628,0.0,8.339,0.848,96.241,123.086,263.24,0.0,58.493,31.648,858.116,794.92,249.283,0.0,87.348,150.544,216.903,201.097,302.91,0.0,33.948,49.753,2020-12-14,1170.51,Unknown,2610.26,0.45,Medium
26,29,174.493,178.421,270.493,0.0,4.775,0.848,123.086,142.605,253.605,0.0,54.332,34.813,794.92,754.149,267.416,0.0,82.531,123.302,201.097,214.006,320.556,0.0,40.531,27.623,2020-12-21,1146.58,Unknown,2610.26,0.44,Medium
27,29,178.421,184.134,283.604,0.0,6.561,0.848,142.605,126.606,257.762,0.0,63.327,79.326,754.149,758.471,292.506,0.0,113.804,109.481,214.006,201.791,337.28,0.0,15.961,28.175,2020-12-28,1144.4,Unknown,2610.26,0.44,Medium
28,29,184.134,158.314,285.015,0.0,4.45,30.27,126.606,101.604,277.375,0.0,54.701,79.704,758.471,764.895,304.421,0.0,125.535,119.112,201.791,172.711,355.797,0.0,21.103,50.183,2021-01-04,1095.92,Unknown,2610.26,0.42,Medium
29,29,158.314,130.714,297.677,0.0,2.671,30.27,101.604,74.057,302.673,0.0,52.16,79.707,764.895,722.088,303.889,0.0,106.103,148.91,172.711,129.378,377.402,0.0,22.548,65.881,2021-01-11,982.18,Unknown,2610.26,0.38,Low
30,29,130.714,104.256,315.746,0.0,3.51,29.968,74.057,95.762,343.443,0.0,45.481,23.776,722.088,633.143,311.01,0.0,70.23,159.175,129.378,202.73,403.179,0.0,98.796,25.444,2021-01-18,940.13,Unknown,2610.26,0.36,Low
31,29,104.256,76.62,334.387,0.0,2.634,30.27,95.762,95.103,323.676,0.0,40.131,40.791,633.143,534.726,324.587,0.0,81.483,179.9,202.73,148.05,348.964,0.0,27.753,82.433,2021-01-25,759.4,Unknown,2610.26,0.29,Low
32,29,76.62,60.249,358.638,0.0,5.978,22.349,95.103,134.554,330.01,0.0,84.321,44.87,534.726,512.519,339.902,0.0,120.97,143.176,148.05,114.184,373.912,0.0,42.984,76.85,2021-02-01,686.95,Unknown,2610.26,0.26,Low
33,29,60.249,66.783,364.955,0.0,7.382,0.848,134.554,116.058,285.588,0.0,62.514,81.01,512.519,502.216,336.449,0.0,139.246,149.549,114.184,67.979,362.703,0.0,34.546,80.751,2021-02-08,636.98,Unknown,2610.26,0.24,Low
34,29,66.783,44.964,356.887,0.0,2.542,24.361,116.058,63.704,299.586,0.0,29.197,81.551,502.216,398.427,332.953,0.0,90.557,194.346,67.979,0.0,412.338,0.0,13.842,81.821,2021-02-15,443.39,Unknown,2610.26,0.17,Very Low
35,29,44.964,23.223,366.488,0.0,2.445,24.185,63.704,29.748,359.616,0.0,36.136,70.091,398.427,294.693,343.729,0.0,91.006,194.739,0.0,21.978,905.545,0.0,32.035,10.057,2021-02-22,339.89,Unknown,2610.26,0.13,Very Low
36,29,23.223,13.019,382.996,0.0,7.316,17.52,29.748,116.335,424.023,0.0,109.528,22.941,294.693,257.056,347.77,0.0,106.627,144.264,21.978,27.358,444.714,0.0,38.034,32.654,2021-03-01,297.43,Unknown,2610.26,0.11,Very Low
37,29,13.019,18.731,379.056,0.0,6.559,0.848,116.335,80.916,277.735,0.0,46.441,81.86,257.056,233.154,338.053,0.0,104.409,128.311,27.358,0.0,336.873,0.0,15.752,43.11,2021-03-08,251.88,Unknown,2610.26,0.1,Very Low
38,29,18.731,16.738,367.488,0.0,2.995,4.988,80.916,36.452,308.546,0.0,37.97,82.434,233.154,159.761,339.711,0.0,82.54,155.933,0.0,3.123,555.221,0.0,12.49,9.368,2021-03-15,179.62,Unknown,2610.26,0.07,Very Low
39,29,16.738,21.817,410.253,0.0,6.54,1.461,36.452,92.722,409.548,0.0,79.281,23.011,159.761,136.965,376.092,0.0,95.653,118.449,3.123,21.301,677.62,0.0,28.236,10.057,2021-03-22,180.08,Unknown,2610.26,0.07,Very Low
40,29,21.817,24.5,342.831,0.0,7.135,4.451,92.722,77.51,287.646,0.0,67.449,82.661,136.965,175.873,350.064,0.0,108.952,70.044,21.301,0.0,315.597,0.0,28.898,50.199,2021-03-29,200.37,Unknown,2610.26,0.08,Very Low
41,29,24.5,6.57,342.52,0.0,3.669,21.599,77.51,26.25,311.745,0.0,31.315,82.575,175.873,146.179,340.641,0.0,81.312,111.005,0.0,13.839,442.995,0.0,23.896,10.057,2021-04-05,166.59,Unknown,2610.26,0.06,Very Low
42,29,6.57,16.349,468.016,0.0,10.626,0.848,26.25,139.387,460.857,0.0,136.843,23.706,146.179,214.665,367.61,0.0,128.62,60.134,13.839,47.251,382.366,0.0,63.486,30.074,2021-04-12,278.26,Unknown,2610.26,0.11,Very Low
43,29,16.349,21.217,294.753,0.0,5.716,0.848,139.387,91.19,224.173,0.0,34.307,82.504,214.665,272.725,285.635,0.0,92.995,34.935,47.251,0.0,233.768,0.0,27.814,75.065,2021-04-19,293.94,Unknown,2610.26,0.11,Very Low
44,29,21.217,23.363,311.105,0.0,2.993,0.848,91.19,62.91,266.641,0.0,54.535,82.815,272.725,315.429,289.518,0.0,91.281,48.576,0.0,0.0,294.588,0.0,52.583,52.583,2021-04-26,338.79,Unknown,2610.26,0.13,Very Low
45,29,23.363,23.775,311.217,0.0,1.26,0.848,62.91,75.651,303.737,0.0,37.559,24.818,315.429,236.882,282.634,0.0,42.654,121.201,0.0,3.865,331.933,0.0,25.481,21.616,2021-05-03,264.52,Unknown,2610.26,0.1,Very Low
46,29,23.775,25.69,358.658,0.0,2.762,0.848,75.651,83.925,338.355,0.0,34.757,26.482,236.882,137.317,303.23,0.0,49.556,149.121,3.865,26.043,464.738,0.0,32.236,10.057,2021-05-10,189.05,Unknown,2610.26,0.07,Very Low
47,29,25.69,26.594,331.052,0.0,3.34,2.435,83.925,81.783,314.677,0.0,26.988,29.13,137.317,58.658,328.842,0.0,38.183,116.841,26.043,14.293,327.634,0.0,33.817,45.568,2021-05-17,99.54,Unknown,2610.26,0.04,Very Low
48,29,26.594,1.583,310.108,0.0,5.259,30.27,81.783,27.006,321.223,0.0,27.73,82.507,58.658,52.314,401.846,0.0,72.748,79.092,14.293,0.0,360.696,0.0,26.532,40.824,2021-05-24,53.9,Unknown,2610.26,0.02,Very Low
49,29,1.583,4.375,718.873,0.0,3.64,0.848,27.006,0.0,445.216,0.0,42.019,69.025,52.314,43.766,393.782,0.0,76.276,84.825,0.0,0.0,511.767,0.0,29.815,29.815,2021-05-31,48.14,Unknown,2610.26,0.02,Very Low
50,29,4.375,0.0,413.711,0.0,3.515,7.89,0.0,3.75,1549.88,0.0,14.999,11.249,43.766,7.133,380.019,0.0,26.127,62.76,0.0,13.28,446.277,0.0,45.52,32.239,2021-06-07,20.41,Unknown,2610.26,0.01,Very Low
51,29,0.0,19.098,729.873,0.0,19.946,0.848,3.75,27.913,1071.357,0.0,48.078,23.915,7.133,59.165,560.187,0.0,52.033,0.0,13.28,0.787,239.581,0.0,58.081,70.575,2021-06-14,79.05,Unknown,2610.26,0.03,Very Low
52,29,19.098,26.132,307.334,0.0,7.882,0.848,27.913,61.968,361.844,0.0,57.97,23.915,59.165,114.403,333.7,0.0,55.237,0.0,0.787,0.0,234.843,0.0,69.383,70.169,2021-06-21,140.54,Unknown,2610.26,0.05,Very Low
53,29,26.132,31.569,298.177,0.0,7.879,2.443,61.968,81.08,303.301,0.0,58.01,38.897,114.403,179.177,313.957,0.0,64.774,0.0,0.0,0.0,244.783,0.0,69.368,69.368,2021-06-28,210.75,Unknown,2610.26,0.08,Very Low
54,29,31.569,34.925,299.666,0.0,5.677,2.321,81.08,45.328,282.048,0.0,32.202,67.954,179.177,234.464,302.353,0.0,75.653,20.365,0.0,0.0,259.307,0.0,57.34,57.34,2021-07-05,269.39,Unknown,2610.26,0.1,Very Low
55,29,34.925,43.258,293.161,0.0,9.18,0.848,45.328,70.264,335.0,0.0,47.877,22.941,234.464,257.284,279.934,0.0,45.858,23.038,0.0,24.402,265.311,0.0,89.056,64.654,2021-07-12,324.94,Unknown,2610.26,0.12,Very Low
56,29,43.258,51.558,247.038,0.0,9.148,0.848,70.264,81.675,262.768,0.0,34.353,22.941,257.284,287.241,252.075,0.0,44.338,14.381,24.402,25.934,203.621,0.0,90.032,88.499,2021-07-19,364.73,Unknown,2610.26,0.14,Very Low
57,29,51.558,55.999,236.319,0.0,5.288,0.848,81.675,99.921,242.216,0.0,41.187,22.941,287.241,311.783,242.099,0.0,37.726,13.184,25.934,39.661,191.038,0.0,100.217,86.49,2021-07-26,407.44,Unknown,2610.26,0.16,Very Low
58,29,55.999,80.699,228.59,0.0,25.548,0.848,99.921,133.219,214.533,0.0,55.822,22.524,311.783,369.853,233.61,0.0,58.071,0.0,39.661,52.294,179.941,0.0,90.365,77.732,2021-08-02,502.85,Unknown,2610.26,0.19,Very Low
59,29,80.699,91.546,212.916,0.0,11.694,0.848,133.219,147.529,184.682,0.0,54.928,40.617,369.853,438.763,224.194,0.0,68.91,0.0,52.294,46.562,160.823,0.0,76.803,82.535,2021-08-09,576.87,Unknown,2610.26,0.22,Low
60,29,91.546,95.507,207.424,0.0,4.808,0.848,147.529,114.299,175.494,0.0,28.205,61.435,438.763,476.777,216.908,0.0,58.942,20.929,46.562,0.0,160.288,0.0,48.6,95.162,2021-08-16,572.28,Unknown,2610.26,0.22,Low
61,29,95.507,81.407,216.541,0.0,7.895,21.995,114.299,67.487,200.072,0.0,33.493,80.305,476.777,490.609,220.384,0.0,77.191,63.358,0.0,0.0,223.838,0.0,36.227,36.227,2021-08-23,572.02,Unknown,2610.26,0.22,Low
62,29,81.407,75.192,219.044,0.0,7.653,13.867,67.487,39.077,224.833,0.0,38.093,66.503,490.609,499.021,215.322,0.0,63.258,54.846,0.0,0.0,175.346,0.0,57.882,57.882,2021-08-30,574.21,Unknown,2610.26,0.22,Low
63,29,75.192,71.031,229.628,0.0,10.872,15.034,39.077,42.661,259.211,0.0,27.221,23.637,499.021,470.563,215.687,0.0,44.891,73.35,0.0,7.615,217.975,0.0,80.026,72.411,2021-09-06,549.21,Unknown,2610.26,0.21,Low
64,29,71.031,77.728,219.717,0.0,7.545,0.848,42.661,57.36,231.73,0.0,38.336,23.637,470.563,472.502,213.917,0.0,47.235,45.296,7.615,25.454,190.474,0.0,95.513,77.674,2021-09-13,575.68,Unknown,2610.26,0.22,Low
65,29,77.728,59.61,219.015,0.0,6.316,24.434,57.36,0.649,213.927,0.0,21.948,78.658,472.502,448.075,214.714,0.0,74.046,98.472,25.454,0.0,178.728,0.0,66.576,92.03,2021-09-20,507.68,Unknown,2610.26,0.19,Very Low
66,29,59.61,65.99,280.984,0.0,7.228,0.848,0.649,11.198,948.005,0.0,34.185,23.637,448.075,402.611,244.07,0.0,51.023,96.487,0.0,68.902,311.287,0.0,78.959,10.057,2021-09-27,537.5,Unknown,2610.26,0.21,Low
67,29,65.99,74.512,237.276,0.0,9.369,0.848,11.198,27.603,314.481,0.0,39.556,23.15,402.611,398.727,224.934,0.0,44.482,48.367,68.902,24.465,165.886,0.0,63.41,107.847,2021-10-04,497.7,Unknown,2610.26,0.19,Very Low
68,29,74.512,85.2,254.085,0.0,11.536,0.848,27.603,50.642,336.833,0.0,46.189,23.15,398.727,426.45,243.935,0.0,52.66,24.937,24.465,0.0,248.322,0.0,50.427,74.892,2021-10-11,511.65,Unknown,2610.26,0.2,Low
69,29,85.2,107.558,249.437,0.0,23.206,0.848,50.642,84.273,239.534,0.0,87.4,53.769,426.45,509.809,241.708,0.0,90.317,6.958,0.0,59.823,355.952,0.0,69.88,10.057,2021-10-18,677.19,Unknown,2610.26,0.26,Low
70,29,107.558,120.409,205.741,0.0,13.699,0.848,84.273,106.045,186.83,0.0,75.577,53.805,509.809,587.306,210.454,0.0,83.258,5.761,59.823,23.352,177.653,0.0,49.529,86.0,2021-10-25,731.07,Unknown,2610.26,0.28,Low
71,29,120.409,140.264,206.376,0.0,20.703,0.848,106.045,240.478,181.959,0.0,157.583,23.15,587.306,710.317,206.388,0.0,123.01,0.0,23.352,48.455,205.487,0.0,79.8,54.698,2021-11-01,899.04,Unknown,2610.26,0.34,Low
